SPAC212.11	1	5662	-1
SPAC212.08c	12158	12994	1
SPAC212.12	15855	16226	1
SPAC212.06c	18072	18557	1
SPAC212.04c	21587	22508	1
SPAC212.03	23589	23978	-1
SPAC212.02	27353	27763	-1
SPAC212.01c	28738	29638	1
SPAC977.01	29766	30716	1
SPAC977.18	31327	32187	-1
SPAC977.02	32230	32670	1
SPAC977.03	33835	34272	1
SPAC977.04	34349	34816	1
SPAC977.05c	35768	36382	-1
SPAC977.06	39431	40050	1
SPAC977.07c	42057	43307	-1
SPAC977.08	44704	45414	1
SPAC977.09c	46075	48160	-1
SPAC977.10	52117	53600	1
SPAC977.11	55274	56209	1
SPAC977.12	56492	57562	1
SPAC977.14c	59715	60770	-1
SPAC977.15	62989	63732	1
SPAC977.16c	64904	66679	-1
SPAC977.17	67143	68939	1
SPAPJ695.02	75698	75910	-1
SPAPJ695.01c	77578	77931	-1
SPAC1F8.01	82936	84603	1
SPAC1F8.02c	85598	86278	-1
SPAC1F8.03c	88367	90259	-1
SPAC1F8.04c	92480	93871	-1
SPAC1F8.05	96000	96548	1
SPAC1F8.06	100011	101168	1
SPAC1F8.07c	101836	103544	-1
SPAC1F8.08	103941	104303	1
SPAC11D3.19	106965	107198	1
SPAC11D3.01c	108908	109147	-1
SPAC11D3.02c	109829	110281	-1
SPAC11D3.03c	111005	111913	-1
SPAC11D3.04c	112917	113309	-1
SPAC11D3.05	114080	115720	1
SPAC11D3.07c	118195	120108	-1
SPAC11D3.06	116693	118060	1
SPAC11D3.08c	120556	122208	-1
SPAC11D3.09	122845	124029	1
SPAC11D3.10	125582	126886	1
SPAC11D3.11c	128025	129185	-1
SPAC11D3.20	127230	127316	1
SPAC11D3.13	130329	130997	1
SPAC11D3.14c	131319	135101	-1
SPAC11D3.15	136331	140284	1
SPAC11D3.16c	140805	141200	-1
SPAC11D3.17	142675	144432	1
SPAC11D3.18c	144862	146358	-1
SPAC5H10.01	146974	147879	1
SPAC5H10.02c	148213	148935	-1
SPAC5H10.03	151913	152572	1
SPAC5H10.04	153387	154535	1
SPAC5H10.05c	154807	155397	-1
SPAC5H10.06c	156548	157687	-1
SPAC5H10.07	159203	159472	1
SPAC5H10.08c	160094	160945	-1
SPAC5H10.09c	160977	161780	-1
SPAC5H10.10	162960	164138	1
SPAC5H10.11	164728	165717	1
SPAC5H10.12c	166420	167535	-1
SPAC5H10.13c	168810	169850	-1
SPAC13G6.01c	170972	174373	-1
SPAC13G6.02c	175013	175771	-1
SPAC13G6.03	177292	179568	1
SPAC13G6.04	180423	180911	1
SPAC13G6.05c	181077	182194	-1
SPAC13G6.06c	182976	186071	-1
SPAC13G6.07c	186844	187563	-1
SPAC13G6.08	188377	189984	1
SPAC13G6.09	190322	191291	1
SPAC13G6.10c	192296	193888	-1
SPAC13G6.11c	194119	195582	-1
SPAC13G6.12c	196090	198715	-1
SPAC13G6.13	198884	199231	1
SPAC13G6.14	200235	200867	1
SPAC13G6.15c	202487	202978	-1
SPAC24B11.05	205213	205893	1
SPAC24B11.06c	206864	207913	-1
SPAC24B11.07c	209346	211031	-1
SPAC24B11.08c	212034	213206	-1
SPAC24B11.09	216483	216839	1
SPAC24B11.10c	218657	221455	-1
SPAC24B11.11c	222029	223852	-1
SPAC24B11.12c	224396	228683	-1
SPAC24B11.14	230545	231136	1
SPAC24B11.13	231655	232665	1
SPAC806.02c	233231	235106	-1
